date,btc,bitcoin
2024-07-01,22,19
2024-07-02,20,18
2024-07-03,23,20
2024-07-04,30,27
2024-07-05,39,32
2024-07-06,25,22
2024-07-07,23,21
2024-07-08,28,25
2024-07-09,24,21
2024-07-10,22,21
2024-07-11,24,24
2024-07-12,24,23
2024-07-13,19,18
2024-07-14,23,23
2024-07-15,31,26
2024-07-16,29,30
2024-07-17,27,23
2024-07-18,24,21
2024-07-19,27,25
2024-07-20,24,21
2024-07-21,25,25
2024-07-22,26,25
2024-07-23,26,25
2024-07-24,23,23
2024-07-25,25,23
2024-07-26,25,23
2024-07-27,28,29
2024-07-28,24,25
2024-07-29,28,28
2024-07-30,24,23
2024-07-31,23,21
2024-08-01,25,21
2024-08-02,25,22
2024-08-03,26,23
2024-08-04,28,24
2024-08-05,78,70
2024-08-06,43,39
2024-08-07,33,31
2024-08-08,32,28
2024-08-09,29,25
2024-08-10,22,22
2024-08-11,23,22
2024-08-12,27,24
2024-08-13,24,22
2024-08-14,24,21
2024-08-15,25,23
2024-08-16,24,21
2024-08-17,20,18
2024-08-18,20,20
2024-08-19,23,20
2024-08-20,23,22
2024-08-21,22,21
2024-08-22,22,20
2024-08-23,24,25
2024-08-24,24,20
2024-08-25,23,20
2024-08-26,22,20
2024-08-27,23,21
2024-08-28,26,21
2024-08-29,22,20
2024-08-30,21,19
2024-08-31,19,16
2024-09-01,19,17
2024-09-02,21,19
2024-09-03,21,19
2024-09-04,24,21
2024-09-05,21,20
2024-09-06,27,23
2024-09-07,22,20
2024-09-08,20,19
2024-09-09,23,20
2024-09-10,22,19
2024-09-11,21,19
2024-09-12,21,20
2024-09-13,23,19
2024-09-14,21,19
2024-09-15,19,17
2024-09-16,21,19
2024-09-17,22,19
2024-09-18,23,20
2024-09-19,29,23
2024-09-20,25,21
2024-09-21,20,17
2024-09-22,19,18
2024-09-23,23,20
2024-09-24,22,19
2024-09-25,21,19
2024-09-26,24,21
2024-09-27,26,21
2024-09-28,21,18
2024-09-29,19,17
2024-09-30,22,19
2024-10-01,24,20
2024-10-02,23,19
2024-10-03,22,18
2024-10-04,21,18
2024-10-05,18,16
2024-10-06,17,16
2024-10-07,21,19
2024-10-08,20,19
2024-10-09,21,20
2024-10-10,21,18
2024-10-11,20,19
2024-10-12,16,15
2024-10-13,16,14
2024-10-14,23,19
2024-10-15,23,18
2024-10-16,25,20
2024-10-17,22,18
2024-10-18,23,20
2024-10-19,19,17
2024-10-20,20,17
2024-10-21,24,20
2024-10-22,19,18
2024-10-23,20,18
2024-10-24,20,19
2024-10-25,21,18
2024-10-26,18,15
2024-10-27,17,17
2024-10-28,25,20
2024-10-29,46,35
2024-10-30,34,27
2024-10-31,29,24
2024-11-01,25,22
2024-11-02,21,18
2024-11-03,22,19
2024-11-04,24,19
2024-11-05,26,21
2024-11-06,84,81
2024-11-07,49,48
2024-11-08,42,37
2024-11-09,35,31
2024-11-10,61,53
2024-11-11,91,82
2024-11-12,96,87
2024-11-13,91,82
2024-11-14,72,66
2024-11-15,55,50
2024-11-16,46,43
2024-11-17,40,40
2024-11-18,47,44
2024-11-19,48,44
2024-11-20,53,49
2024-11-21,87,73
2024-11-22,85,74
2024-11-23,63,53
2024-11-24,48,46
2024-11-25,53,51
2024-11-26,54,54
2024-11-27,46,45
2024-11-28,41,38
2024-11-29,41,39
2024-11-30,34,33
2024-12-01,34,34
2024-12-02,42,38
2024-12-03,39,38
2024-12-04,42,39
2024-12-05,100,100
2024-12-06,59,60
2024-12-07,41,46
2024-12-08,37,41
2024-12-09,44,44
2024-12-10,46,46
2024-12-11,44,43
2024-12-12,40,41
2024-12-13,35,36
2024-12-14,34,33
2024-12-15,37,35
2024-12-16,55,49
2024-12-17,48,46
2024-12-18,44,47
2024-12-19,55,48
2024-12-20,58,52
2024-12-21,39,37
2024-12-22,35,36
2024-12-23,42,41
2024-12-24,40,39
2024-12-25,35,36
2024-12-26,34,38
2024-12-27,33,36
2024-12-28,29,29
2024-12-29,28,31
2024-12-30,38,35
2024-12-31,31,32
