date,dogecoin
2024-01-01,13
2024-01-02,16
2024-01-03,15
2024-01-04,14
2024-01-05,12
2024-01-06,12
2024-01-07,13
2024-01-08,14
2024-01-09,15
2024-01-10,14
2024-01-11,18
2024-01-12,16
2024-01-13,12
2024-01-14,11
2024-01-15,11
2024-01-16,11
2024-01-17,11
2024-01-18,10
2024-01-19,11
2024-01-20,13
2024-01-21,18
2024-01-22,13
2024-01-23,12
2024-01-24,11
2024-01-25,11
2024-01-26,10
2024-01-27,10
2024-01-28,9
2024-01-29,10
2024-01-30,10
2024-01-31,9
2024-02-01,9
2024-02-02,8
2024-02-03,8
2024-02-04,8
2024-02-05,9
2024-02-06,9
2024-02-07,8
2024-02-08,9
2024-02-09,9
2024-02-10,9
2024-02-11,10
2024-02-12,11
2024-02-13,12
2024-02-14,13
2024-02-15,14
2024-02-16,12
2024-02-17,9
2024-02-18,10
2024-02-19,14
2024-02-20,14
2024-02-21,12
2024-02-22,11
2024-02-23,10
2024-02-24,10
2024-02-25,9
2024-02-26,13
2024-02-27,23
2024-02-28,40
2024-02-29,52
2024-03-01,40
2024-03-02,44
2024-03-03,43
2024-03-04,81
2024-03-05,100
2024-03-06,50
2024-03-07,39
2024-03-08,40
2024-03-09,40
2024-03-10,37
2024-03-11,41
2024-03-12,36
2024-03-13,34
2024-03-14,46
2024-03-15,35
2024-03-16,31
2024-03-17,30
2024-03-18,27
2024-03-19,27
2024-03-20,27
2024-03-21,27
2024-03-22,25
2024-03-23,27
2024-03-24,29
2024-03-25,32
2024-03-26,31
2024-03-27,31
2024-03-28,62
2024-03-29,50
2024-03-30,35
2024-03-31,34
2024-04-01,34
2024-04-02,31
2024-04-03,27
2024-04-04,26
2024-04-05,24
2024-04-06,24
2024-04-07,31
2024-04-08,31
2024-04-09,24
2024-04-10,23
2024-04-11,23
2024-04-12,25
2024-04-13,24
2024-04-14,25
2024-04-15,25
2024-04-16,21
2024-04-17,20
2024-04-18,22
2024-04-19,22
2024-04-20,21
2024-04-21,18
2024-04-22,19
2024-04-23,17
2024-04-24,17
2024-04-25,16
2024-04-26,15
2024-04-27,15
2024-04-28,14
2024-04-29,15
2024-04-30,16
2024-05-01,17
2024-05-02,15
2024-05-03,15
2024-05-04,21
2024-05-05,20
2024-05-06,19
2024-05-07,15
2024-05-08,13
2024-05-09,14
2024-05-10,14
2024-05-11,11
2024-05-12,12
2024-05-13,16
2024-05-14,15
2024-05-15,17
2024-05-16,15
2024-05-17,14
2024-05-18,13
2024-05-19,10
2024-05-20,14
2024-05-21,20
2024-05-22,16
2024-05-23,15
2024-05-24,39
2024-05-25,28
2024-05-26,18
2024-05-27,17
2024-05-28,14
2024-05-29,14
2024-05-30,14
2024-05-31,12
2024-06-01,11
2024-06-02,11
2024-06-03,13
2024-06-04,13
2024-06-05,14
2024-06-06,13
2024-06-07,13
2024-06-08,12
2024-06-09,11
2024-06-10,12
2024-06-11,12
2024-06-12,12
2024-06-13,11
2024-06-14,11
2024-06-15,10
2024-06-16,9
2024-06-17,11
2024-06-18,13
2024-06-19,11
2024-06-20,10
2024-06-21,10
2024-06-22,9
2024-06-23,9
2024-06-24,10
2024-06-25,10
2024-06-26,9
2024-06-27,9
2024-06-28,9
2024-06-29,8
2024-06-30,8
